Accession	Gene	protein_logFC	protein_padj	gene_logFC	gene_padj	Groups
Q9NRV9	HEBP1	0.7678	0	0.3997	5e-4	Up/Up
Q9BZF9	UACA	1.7524	0	0.5585	1e-4	Up/Up
P01024	C3	0.9278	0	0.5353	0	Up/Up
Q8IYD1	GSPT2	1.7443	0	-2.6966	0	Down transcriptome/Up proteome
P35221	CTNNA1	-0.6383	0	-0.5068	0	Down/Down
Q9NRY6	PLSCR3	2.4755	0	0.5598	0	Up/Up
Q15149	PLEC	1.1633	0	2.5313	0	Up/Up
P14635	CCNB1	-1.3746	0	-1.0498	0	Down/Down
Q14019	COTL1	0.7473	0	1.6813	0	Up/Up
Q14008	CKAP5	-0.4744	0	-0.2521	0.0071	Down/Down
Q12756	KIF1A	-2.4358	0	-1.2945	0	Down/Down
Q96RP9	GFM1	0.5294	0	0.9518	0	Up/Up
P43243	MATR3	-0.4969	0	-0.2698	0.0115	Down/Down
Q8TCD5	NT5C	1.0643	0	0.4422	0.0044	Up/Up
Q13576	IQGAP2	-2.5538	0	-2.5879	0	Down/Down
P00749	PLAU	1.9761	0	2.6533	0	Up/Up
Q02952	AKAP12	-0.6765	0	-0.2231	0.0194	Down/Down
O95347	SMC2	-0.5734	0	-0.3513	0	Down/Down
P49748	ACADVL	0.5831	0	0.6432	0	Up/Up
O43768	ENSA	-0.8142	0	-0.3332	6e-4	Down/Down
O43772	SLC25A20	-0.9086	0	0.4894	0.0087	Up transcriptome/Down proteome
Q9Y5S2	CDC42BPB	0.5712	0	0.2283	0.001	Up/Up
Q02153	GUCY1B1	-4.7811	0	-3.6317	0	Down/Down
Q27J81	INF2	1.0458	0	1.5425	0	Up/Up
Q9Y2T3	GDA	0.8001	0	-0.3751	0	Down transcriptome/Up proteome
Q9HCY8	S100A14	1.3056	0	0.3871	0.0061	Up/Up
O43715	TRIAP1	-2.2679	0	-0.4915	0.0013	Down/Down
P20248	CCNA2	-1.6545	0	-0.4524	3e-4	Down/Down
P14384	CPM	-4.0234	0	-3.2791	0	Down/Down
P14324	FDPS	-0.697	0	-0.5412	0	Down/Down
Q96EY8	MMAB	-1.5624	0	-1.3631	0	Down/Down
P68104	EEF1A1	-0.3789	0	-0.5351	0	Down/Down
P0DP25	CALM3	0.5929	0	0.1522	0.0249	Up/Up
Q9UKX7	NUP50	-0.7018	0	0.5853	0	Up transcriptome/Down proteome
Q16401	PSMD5	-0.6073	0	-0.4376	0	Down/Down
P62070	RRAS2	0.7884	0	1.2236	0	Up/Up
P10321	HLA-C	0.8242	0	0.3383	0	Up/Up
Q9H7Z7	PTGES2	-0.6844	0	-0.4358	0	Down/Down
P52209	PGD	-0.792	0	-0.7836	0	Down/Down
Q15181	PPA1	-0.4205	0	-0.2028	5e-4	Down/Down
Q6NUK1	SLC25A24	0.615	0	0.7487	0	Up/Up
Q9ULS5	TMCC3	-1.2563	0	-2.6458	0	Down/Down
P04899	GNAI2	0.7597	0	0.3156	0.0042	Up/Up
Q9NUU6	OTULINL	0.9125	0	0.6859	0	Up/Up
Q9UK76	JPT1	0.7607	0	0.6733	0	Up/Up
Q8NE86	MCU	0.7497	0	0.9981	0	Up/Up
Q14493	SLBP	-2.1203	0	0.5934	0	Up transcriptome/Down proteome
Q9BR76	CORO1B	0.5716	0	0.3213	2e-4	Up/Up
P18669	PGAM1	0.6089	0	0.4333	0	Up/Up
P37268	FDFT1	-2.5625	0	-1.3965	0	Down/Down
Q9UHI5	SLC7A8	2.7577	0	-1.9334	0	Down transcriptome/Up proteome
Q8NFU3	TSTD1	0.7835	0	0.4327	0.0132	Up/Up
Q9BW04	SARG	1.0362	0	2.0814	0	Up/Up
P28331	NDUFS1	-0.5544	0	-0.4391	0	Down/Down
P34897	SHMT2	-0.4938	0	-1.1164	0	Down/Down
P26374	CHML	-2.1483	0	-0.6568	0	Down/Down
Q8IXL7	MSRB3	-2.1849	0	-0.9223	0	Down/Down
Q13601	KRR1	-1.102	0	-0.2507	0.0173	Down/Down
Q9UDY8	MALT1	-1.1603	0	0.7572	2e-4	Up transcriptome/Down proteome
Q8NBX0	SCCPDH	0.9475	0	0.7675	0	Up/Up
P23381	WARS1	0.5332	0	-0.1802	0.0329	Down transcriptome/Up proteome
Q13151	HNRNPA0	-0.8061	0	-0.30620000000000003	0.0204	Down/Down
Q96G23	CERS2	-0.5901	0	0.1227	0.0259	Up transcriptome/Down proteome
P00491	PNP	0.5216	0	0.5495	0	Up/Up
Q92563	SPOCK2	1.8818	0	0.6517	0	Up/Up
P08133	ANXA6	-0.5688	0	-1.4008	0	Down/Down
P21399	ACO1	0.5633	0	0.5449	0	Up/Up
P61956	SUMO2	0.6127	0	0.227	0.0046	Up/Up
Q9Y6M5	SLC30A1	-2.2316	0	0.6965	0	Up transcriptome/Down proteome
Q9Y3B3	TMED7	-0.8807	0	-0.4873	0	Down/Down
Q9Y2J4	AMOTL2	0.8764	0	0.1648	0	Up/Up
P11413	G6PD	0.589	0	0.8646	0	Up/Up
O75935	DCTN3	-0.6551	0	0.2617	0.0267	Up transcriptome/Down proteome
Q9Y316	MEMO1	0.9604	0	0.2097	0.0243	Up/Up
Q6WKZ4	RAB11FIP1	-0.7757	0	-0.4347	0.0062	Down/Down
Q96IU4	ABHD14B	0.7431	0	0.2088	0.0264	Up/Up
P15586	GNS	-0.6801	0	-1.4004	0	Down/Down
P51659	HSD17B4	-0.6874	0	-1.3371	0	Down/Down
O75954	TSPAN9	-1.3598	0	-1.4997	0	Down/Down
Q9BSJ8	ESYT1	-0.6751	0	0.2069	0.0449	Up transcriptome/Down proteome
P33764	S100A3	-2.7511	0	0.9926	0	Up transcriptome/Down proteome
P46013	MKI67	-1.0013	0	0.3292	0.0398	Up transcriptome/Down proteome
Q9NS15	LTBP3	2.2347	0	1.407	0	Up/Up
O95864	FADS2	-1.4125	0	-0.8862	0	Down/Down
Q9NVS9	PNPO	0.6942	0	1.4817	0	Up/Up
A1L3X0	ELOVL7	-1.5063	0	-1.4931	0	Down/Down
P30837	ALDH1B1	0.7821	0	1.181	0	Up/Up
Q15014	MORF4L2	-0.6663	0	-0.2169	0	Down/Down
P43897	TSFM	-0.6468	0	-0.7916	0	Down/Down
Q96HQ2	CDKN2AIPNL	-1.2758	0	-0.8219	0	Down/Down
Q9NZ08	ERAP1	-1.1592	0	-1.6908	0	Down/Down
Q8WXI7	MUC16	-1.0713	0	-0.5832	1e-4	Down/Down
O14933	UBE2L6	1.2971	0	-1.0316	0	Down transcriptome/Up proteome
Q7Z6M1	RABEPK	-1.2948	0	-0.8927	0	Down/Down
Q16880	UGT8	-1.0253	0	-0.3919	0.006	Down/Down
Q9H4M9	EHD1	0.8448	0	1.5407	0	Up/Up
Q8IWE5	PLEKHM2	-1.3507	0	0.3111	0.0122	Up transcriptome/Down proteome
P31689	DNAJA1	-0.6044	0	0.5961	0	Up transcriptome/Down proteome
P20020	ATP2B1	-1.1967	0	-0.9034	0	Down/Down
O14777	NDC80	-0.6979	0	-0.2632	0.0024	Down/Down
Q9NR77	PXMP2	-1.1584	0	-0.8443	0	Down/Down
P07954	FH	-0.5074	0	-0.2751	2e-4	Down/Down
P78371	CCT2	-0.348	0	-0.3774	0	Down/Down
Q9H0H5	RACGAP1	-0.7103	0	-0.211	0.0023	Down/Down
Q9BWD1	ACAT2	-0.6271	0	-1.113	0	Down/Down
P20674	COX5A	-0.4289	0	-0.5553	0	Down/Down
P31949	S100A11	0.7395	0	1.3127	0	Up/Up
P54819	AK2	0.7075	0	-0.2283	0.0016	Down transcriptome/Up proteome
O95235	KIF20A	-1.8021	0	-1.4746	0	Down/Down
Q9ULZ3	PYCARD	1.8745	0	0.8515	1e-4	Up/Up
Q8N3F8	MICALL1	-0.7967	0	0.8274	0	Up transcriptome/Down proteome
O43396	TXNL1	-0.5747	0	-0.2943	0	Down/Down
P04632	CAPNS1	0.7528	0	0.5012	0	Up/Up
Q9H936	SLC25A22	0.8137	0	0.8904	0.0061	Up/Up
Q9UBR2	CTSZ	1.0473	0	0.5516	0	Up/Up
Q14534	SQLE	-3.0168	0	-1.0344	0	Down/Down
P09758	TACSTD2	0.9468	0	-0.164	0.0195	Down transcriptome/Up proteome
P22314	UBA1	0.5825	0	0.176	0.0084	Up/Up
Q86YN1	DOLPP1	-1.5725	0	-0.2956	0.0026	Down/Down
Q16643	DBN1	-0.5944	0	-0.3254	0.0044	Down/Down
O60610	DIAPH1	-0.5665	0	0.5607	0	Up transcriptome/Down proteome
Q6UWE0	LRSAM1	-0.7969	0	-1.3489	0	Down/Down
Q9Y3P9	RABGAP1	-0.6653	0	-1.0996	0	Down/Down
P0CG35	TMSB15B	-1.4053	0	-0.7359	0.0168	Down/Down
Q07820	MCL1	-1.0365	0	-0.2463	2e-4	Down/Down
Q15084	PDIA6	0.5248	0	0.1289	0.0278	Up/Up
Q13228	SELENBP1	1.0078	0	-1.1116	0	Down transcriptome/Up proteome
Q99674	CGREF1	1.1941	0	0.7874	0	Up/Up
P33992	MCM5	-0.5676	0	1.1131	0	Up transcriptome/Down proteome
P33993	MCM7	-0.7059	0	0.4869	0	Up transcriptome/Down proteome
P48681	NES	-2.281	0	0.88	0	Up transcriptome/Down proteome
Q15021	NCAPD2	-0.5149	0	-0.2915	0.01	Down/Down
P15153	RAC2	1.5509	0	0.6271	0	Up/Up
Q16881	TXNRD1	-0.6395	0	0.3051	0.0011	Up transcriptome/Down proteome
P18065	IGFBP2	-4.0076	0	-2.748	0	Down/Down
Q96HH9	GRAMD2B	1.8124	0	0.6121	0	Up/Up
Q8N961	ABTB2	1.3416	0	1.4871	0	Up/Up
Q5BKZ1	ZNF326	-0.5019	0	0.2789	0.0174	Up transcriptome/Down proteome
P27824	CANX	-0.6381	0	-0.8897	0	Down/Down
Q9UG56	PISD	0.7853	0	1.0411	0	Up/Up
Q16625	OCLN	-1.7822	0	-0.6611	0	Down/Down
Q9GZR7	DDX24	-0.6701	0	0.4306	0	Up transcriptome/Down proteome
Q9H299	SH3BGRL3	0.6811	0	0.4637	0	Up/Up
O75330	HMMR	-1.1017	0	-1.3667	0	Down/Down
Q9UJX3	ANAPC7	-1.1118	0	-0.5282	0	Down/Down
Q0JRZ9	FCHO2	-0.6028	0	-1.7248000000000001	0	Down/Down
P61088	UBE2N	-0.4091	0	-0.2025	0.0284	Down/Down
P30084	ECHS1	0.5802	0	0.2091	0.0201	Up/Up
P54619	PRKAG1	-0.5242	0	0.4027	0	Up transcriptome/Down proteome
Q460N5	PARP14	0.6169	0	-1.0009	0	Down transcriptome/Up proteome
P25205	MCM3	-0.616	0	0.5115	0	Up transcriptome/Down proteome
P05362	ICAM1	0.9213	0	1.7546	0	Up/Up
Q8TCT9	HM13	0.5502	0	-0.4988	0	Down transcriptome/Up proteome
Q14997	PSME4	-0.6821	0	0.4428	0	Up transcriptome/Down proteome
Q9UK22	FBXO2	1.0159	0	0.4432	1e-4	Up/Up
P32321	DCTD	0.6075	0	0.4541	0	Up/Up
P30040	ERP29	-0.6067	0	-0.7628	0	Down/Down
P50552	VASP	0.5568	0	0.7211	0	Up/Up
Q13610	PWP1	-0.6638	0	-0.66	0	Down/Down
Q6DD88	ATL3	0.4082	0	0.9222	0	Up/Up
O15427	SLC16A3	1.4672	0	1.422	0	Up/Up
Q9Y5K8	ATP6V1D	0.5534	0	0.2717	0.0094	Up/Up
Q03154	ACY1	0.6741	0	0.6003	0.0011	Up/Up
P55809	OXCT1	0.5545	0	0.4183	4e-4	Up/Up
Q5JSL3	DOCK11	-1.7602	0	-3.4547	0	Down/Down
Q96RF0	SNX18	-1.4059	0	-0.2898	2e-4	Down/Down
Q9H6S0	YTHDC2	-2.6173	0	-0.969	0	Down/Down
Q5SNT2	TMEM201	-1.579	0	0.6976	0	Up transcriptome/Down proteome
Q96AD5	PNPLA2	1.0631	0	0.9186	0	Up/Up
Q9BPX3	NCAPG	-0.4294	0	0.1753	0.0214	Up transcriptome/Down proteome
P32119	PRDX2	0.5752	0	0.3497	4e-4	Up/Up
A1X283	SH3PXD2B	-0.8309	0	-0.6598	0	Down/Down
P43121	MCAM	-0.9021	0	-1.0837	0	Down/Down
Q14289	PTK2B	1.1447	0	0.8751	0	Up/Up
P20645	M6PR	0.58	0	0.202	0.0044	Up/Up
O43598	DNPH1	0.9694	0	0.5057	0.0014	Up/Up
Q9NZB2	FAM120A	-0.4364	0	0.1454	0.0311	Up transcriptome/Down proteome
Q8IY37	DHX37	-1.4019	0	0.3497	0	Up transcriptome/Down proteome
Q9H7S9	ZNF703	0.8255	0	-1.8123	0	Down transcriptome/Up proteome
Q99717	SMAD5	-1.3521	0	-0.3529	0.0394	Down/Down
Q9H6S3	EPS8L2	0.4467	0	0.6513	0	Up/Up
P13798	APEH	0.5016	0	0.1979	0.0034	Up/Up
Q01813	PFKP	0.3587	0	0.1994	0.0015	Up/Up
O00410	IPO5	0.4966	0	1.1933	0	Up/Up
Q9H3K2	GHITM	0.7788	0	0.2794	0	Up/Up
P46527	CDKN1B	1.3352	0	-0.3096	3e-4	Down transcriptome/Up proteome
P49736	MCM2	-0.7501	0	0.9313	0	Up transcriptome/Down proteome
O00299	CLIC1	0.5136	0	0.7172	0	Up/Up
Q8NHH9	ATL2	-0.6328	0	-0.9051	0	Down/Down
Q13277	STX3	0.7948	0	0.6978	0	Up/Up
O75122	CLASP2	-0.616	0	-0.4791	0.0464	Down/Down
P28161	GSTM2	-1.5751	0	-0.8982	0.0113	Down/Down
O75410	TACC1	1.2641	0	0.4753	2e-4	Up/Up
Q9C0C9	UBE2O	-0.7036	0	0.1525	0.0134	Up transcriptome/Down proteome
P15309	ACP3	-1.5931	0	-4.0087	0	Down/Down
Q9NZM1	MYOF	0.6532	0	0.5092	0	Up/Up
Q9P2J5	LARS1	-0.4572	0	-0.6526	0	Down/Down
P20700	LMNB1	-0.8395	0	-0.3394	0	Down/Down
Q9H845	ACAD9	0.6543	0	0.562	0	Up/Up
Q9P0V3	SH3BP4	-0.6282	0	-0.4228	4e-4	Down/Down
Q92599	SEPTIN8	-1.1766	0	-0.2312	0.0012	Down/Down
Q8TE68	EPS8L1	0.7081	0	0.4924	1e-4	Up/Up
Q13263	TRIM28	-0.4216	0	0.5886	0	Up transcriptome/Down proteome
Q9Y6A5	TACC3	-0.8728	0	0.4818	0	Up transcriptome/Down proteome
Q12913	PTPRJ	0.475	0	0.9457	0	Up/Up
P25054	APC	-1.9441	0	-0.8887	0	Down/Down
P06703	S100A6	0.9628	0	1.1163	0	Up/Up
O15484	CAPN5	0.9246	0	0.3191	0.011	Up/Up
O75841	UPK1B	-1.4949	0	-0.4651	0	Down/Down
Q16831	UPP1	0.8853	0	1.6175	0	Up/Up
Q9H6I2	SOX17	-1.2512	0	-0.3782	6e-4	Down/Down
O75175	CNOT3	-0.5552	0	0.2199	0.0028	Up transcriptome/Down proteome
Q9Y6I4	USP3	-1.0234	0	-0.5109	1e-4	Down/Down
Q9HAW4	CLSPN	-1.1913	0	1.1417	0	Up transcriptome/Down proteome
O00592	PODXL	-0.902	0	-1.3675	0	Down/Down
O95631	NTN1	1.0579	0	0.4472	0	Up/Up
P52565	ARHGDIA	0.3318	0	1.0255	0	Up/Up
Q8TBX8	PIP4K2C	-0.8682	0	-0.8009	0	Down/Down
O14656	TOR1A	-0.9096	0	-0.6422	0	Down/Down
Q5VT52	RPRD2	-0.8417	0	-0.3246	0.0029	Down/Down
Q14435	GALNT3	0.5165	0	0.3326	0.0099	Up/Up
Q5JPI9	EEF1AKMT2	1.7633	0	-0.7698	0.0012	Down transcriptome/Up proteome
Q05639	EEF1A2	0.6666	0	0.5345	0	Up/Up
P51648	ALDH3A2	-0.4922	0	-1.0563	0	Down/Down
Q9BVS4	RIOK2	-0.9785	0	-0.7482	0	Down/Down
Q13112	CHAF1B	-1.0386	0	0.4486	0	Up transcriptome/Down proteome
Q15363	TMED2	-0.6411	0	-0.7814	0	Down/Down
Q8IXQ6	PARP9	0.5657	0	0.236	0.0019	Up/Up
P47756	CAPZB	0.4806	0	0.3851	0	Up/Up
Q06323	PSME1	0.5656	0	-0.555	0	Down transcriptome/Up proteome
Q9C004	SPRY4	-2.7971	0	0.3663	0.0027	Up transcriptome/Down proteome
Q14674	ESPL1	-0.8656	0	0.2926	0.0029	Up transcriptome/Down proteome
O43665	RGS10	-0.676	1e-4	-1.3144	0	Down/Down
Q9UK73	FEM1B	-1.967	1e-4	-0.3375	0.0082	Down/Down
Q6P1K2	PMF1	-1.6985	1e-4	-0.4959	0	Down/Down
O75165	DNAJC13	0.3981	1e-4	0.2834	0.0024	Up/Up
Q9NQS7	INCENP	0.6415	1e-4	0.4803	0	Up/Up
Q9Y5Z4	HEBP2	0.5737	1e-4	0.5573	0	Up/Up
Q6P9B6	MEAK7	1.3155	1e-4	0.5764	1e-4	Up/Up
Q9NXD2	MTMR10	-1.7405	1e-4	-0.9155	0	Down/Down
P26196	DDX6	-0.3369	1e-4	0.3463	0.0195	Up transcriptome/Down proteome
Q08623	PUDP	1.5313	1e-4	0.9115	0	Up/Up
Q92598	HSPH1	-0.3399	1e-4	0.8302	0	Up transcriptome/Down proteome
P41567	EIF1	-0.7224	1e-4	0.2616	4e-4	Up transcriptome/Down proteome
P35555	FBN1	1.5722	1e-4	2.7535	0	Up/Up
Q7LBC6	KDM3B	-0.6122	1e-4	-0.7969	0	Down/Down
Q9Y6G3	MRPL42	1.1602	1e-4	-0.5782	0	Down transcriptome/Up proteome
Q9BZX2	UCK2	-0.5351	1e-4	0.5774	0	Up transcriptome/Down proteome
P52848	NDST1	-1.9038	1e-4	-0.4753	0	Down/Down
P68366	TUBA4A	-0.5338	1e-4	0.4432	0	Up transcriptome/Down proteome
P41252	IARS1	-0.4169	1e-4	-0.4513	1e-4	Down/Down
Q8N8N7	PTGR2	0.5777	1e-4	-0.6925	9e-4	Down transcriptome/Up proteome
Q9BRX8	PRXL2A	-0.5558	1e-4	-0.7013	0	Down/Down
P23246	SFPQ	-0.5251	1e-4	0.2133	0.0297	Up transcriptome/Down proteome
Q96C19	EFHD2	0.4062	1e-4	1.2071	0	Up/Up
P08670	VIM	-0.7456	1e-4	1.5104	0	Up transcriptome/Down proteome
P49755	TMED10	-0.5258	1e-4	-0.1551	0.0351	Down/Down
Q15165	PON2	-0.9723	1e-4	-0.3931	9e-4	Down/Down
Q96C23	GALM	0.9205	1e-4	-1.4103	0	Down transcriptome/Up proteome
P55196	AFDN	-0.5533	1e-4	-0.308	0.0064	Down/Down
Q9NZN3	EHD3	0.7029	1e-4	0.173	0.0198	Up/Up
O75390	CS	-0.4245	1e-4	-0.3769	0	Down/Down
Q5SSJ5	HP1BP3	-0.5562	1e-4	-1.0609	0	Down/Down
P32322	PYCR1	0.7417	1e-4	0.6139	8e-4	Up/Up
Q9UFN0	NIPSNAP3A	-0.8697	1e-4	-1.5688	0	Down/Down
Q9BS26	ERP44	-0.5478	1e-4	-0.5932	0	Down/Down
Q09161	NCBP1	-0.6412	1e-4	-0.1857	0.0185	Down/Down
P61457	PCBD1	0.5533	1e-4	0.2841	3e-4	Up/Up
Q9BPX6	MICU1	0.7532	1e-4	0.2661	0.0012	Up/Up
Q9UBP4	DKK3	1.6565	1e-4	1.2346	0	Up/Up
Q13825	AUH	-1.3283	1e-4	-0.9887	0	Down/Down
Q9BUF5	TUBB6	0.5129	1e-4	0.9294	0	Up/Up
Q9BQ70	TCF25	-0.8962	1e-4	-0.5429	1e-4	Down/Down
P55957	BID	0.8375	1e-4	0.5214	0.0068	Up/Up
Q9UPY8	MAPRE3	-1.3927	1e-4	-0.5015	0	Down/Down
P01889	HLA-B	0.5457	1e-4	0.546	0	Up/Up
Q9P270	SLAIN2	-0.8843	1e-4	0.2957	0.0251	Up transcriptome/Down proteome
P19022	CDH2	-1.0163	1e-4	-0.5096	0	Down/Down
P46060	RANGAP1	0.3788	1e-4	1.1961	0	Up/Up
O14979	HNRNPDL	-0.922	1e-4	0.4045	0	Up transcriptome/Down proteome
P36405	ARL3	-0.5394	1e-4	-0.7296	0	Down/Down
