Vessel Name: 131123_AnnaAamodt_Proliftest1
Date Time	Elapsed	WT (1) 10K / well (A3)	WT (1) 10K / well (A4)	WT (1) 10K / well (B3)	WT (1) 10K / well (B4)	WT (1) 10K / well (C3)	WT (1) 10K / well (C4)	WT (1) 10K / well (D3)	WT (1) 10K / well (D4)	WT (1) 10K / well (E3)	WT (1) 10K / well (E4)	WT (1) 10K / well (F3)	WT (1) 10K / well (F4)	WT (1) 10K / well (G3)	WT (1) 10K / well (G4)	WT (1) 10K / well (H3)	WT (1) 10K / well (H4)	CDR2L KO (1) 10K / well (A11)	CDR2L KO (1) 10K / well (A12)	CDR2L KO (1) 10K / well (B11)	CDR2L KO (1) 10K / well (B12)	CDR2L KO (1) 10K / well (C11)	CDR2L KO (1) 10K / well (C12)	CDR2L KO (1) 10K / well (D11)	CDR2L KO (1) 10K / well (D12)	CDR2L KO (1) 10K / well (E11)	CDR2L KO (1) 10K / well (E12)	CDR2L KO (1) 10K / well (F11)	CDR2L KO (1) 10K / well (F12)	CDR2L KO (1) 10K / well (G11)	CDR2L KO (1) 10K / well (G12)	CDR2L KO (1) 10K / well (H11)	CDR2L KO (1) 10K / well (H12)
14.11.2023 12:00:00	20	69,55145	54,88771	74,69477	62,46872	66,63404	50,20338	68,13121	56,11751	64,46489	61,45897	66,3065	59,28776	66,00826	66,97991	57,45686	65,63477	35,97815	20,67989	44,52692	30,60978	44,27988	32,95579	36,91169	30,28232	37,00139	32,27365	32,43122	28,75634	38,33075	39,24818	29,11388	28,86969
14.11.2023 14:00:00	22	72,21365	58,14924	76,51693	65,57665	69,46644	52,72126	71,59779	58,20068	67,56965	64,42147	70,15063	61,40578	68,93933	71,26081	60,92631	68,3334	38,44284	20,90033	46,78117	33,47995	46,91906	35,42476	39,85316	32,846	38,16404	35,34721	34,67912	30,29422	39,8218	41,57927	30,38226	30,24191
14.11.2023 16:00:00	24	75,41534	60,43548	79,43784	68,46549	71,78752	55,4988	75,07859	60,75523	70,99829	67,24886	73,37233	63,66892	72,67725	74,58578	63,13736	71,38536	40,95491	22,426	47,96207	35,95568	48,89236	36,59424	41,62388	34,38238	41,33008	36,15564	34,63744	31,78099	42,05009	44,08127	32,39391	33,10241
14.11.2023 18:00:00	26	79,30019	63,3109	83,31722	70,61297	73,80663	57,49965	77,56725	65,23547	73,20904	69,63663	76,18916	66,0555	74,55871	77,61012	66,85964	75,24625	42,27823	23,88586	50,4559	37,3814	50,61308	38,65876	44,08571	36,68822	44,70411	37,96082	37,63297	33,21981	44,33624	46,67464	34,20814	36,46825
14.11.2023 20:00:00	28	81,20967	65,99016	85,15153	73,27397	76,60107	60,39825	81,08838	68,49145	77,13731	72,48744	78,66615	69,05141	78,68568	80,92381	70,20152	78,34576	46,1211	25,22204	54,93938	38,19246	52,86161	39,71836	45,64972	38,57795	45,38029	42,10375	40,86275	34,8309	46,80935	49,71486	35,53368	38,45895
14.11.2023 22:00:00	30	84,30443	70,46181	87,92478	76,16193	78,83421	64,0525	84,63029	71,53865	80,5011	76,06604	81,76242	71,41569	83,00119	84,01698	73,45449	80,90802	46,69424	26,31292	57,54085	40,98786	57,05669	41,50592	47,12315	41,15528	50,75843	44,41793	43,39539	36,69069	50,15837	52,3222	36,37649	41,00866
15.11.2023 00:00:00	32	87,19406	72,89262	90,58166	80,40751	82,2784	66,95427	88,11816	74,69724	83,64253	79,64288	84,71683	74,88807	87,5366	86,0638	76,37778	83,24927	50,25268	28,20232	61,38252	43,338	60,78231	45,46674	50,94434	45,06117	53,9359	48,65239	44,55328	39,61453	52,63243	56,31716	39,49942	44,39134
15.11.2023 02:00:00	34	89,35391	76,58885	93,85542	83,43161	84,65173	70,05299	90,56951	78,05531	85,9633	81,98557	87,66457	77,42341	91,21513	88,86547	80,57993	86,22511	53,77507	30,57302	66,25101	45,39077	62,46467	50,14583	54,23716	47,61446	56,36225	50,62856	48,7775	42,55846	57,97285	58,33166	42,72103	45,54636
15.11.2023 04:00:00	36	90,69962	80,2662	96,17555	86,24733	86,8308	73,99604	93,11565	80,81451	88,14364	85,00523	90,21317	79,83269	93,86336	90,76868	83,38589	88,06068	57,51267	32,85124	70,91692	48,37447	68,72269	52,56066	57,22991	49,25824	61,02982	52,50986	53,1939	45,06244	61,33823	62,90112	46,31654	49,62205
15.11.2023 06:00:00	38	92,17766	83,01993	97,10561	89,07679	88,48633	77,16565	94,68672	84,43375	90,36343	86,89026	92,41207	82,10337	95,56224	92,72786	86,67743	89,96596	60,87281	34,56338	74,01485	50,78653	73,90642	54,81864	63,84451	52,38721	62,94176	56,04861	56,49633	47,12601	64,30565	64,02448	50,33777	51,70467
15.11.2023 08:00:00	40	93,84557	86,31528	97,93278	90,98746	90,25666	80,68034	95,52548	86,7291	92,46169	89,59103	93,4474	85,09548	96,87365	94,0499	88,83864	91,9969	64,83315	35,34078	78,16596	53,5909	77,27441	57,19347	66,99968	55,71893	66,44987	59,69571	60,35903	48,39225	70,4326	68,41929	52,93472	54,64535
15.11.2023 10:00:00	42	95,27829	88,40021	98,57372	93,39174	91,53926	83,22767	96,7803	89,39377	94,53661	91,30722	94,7796	87,00028	98,26095	94,594	90,9134	93,05	69,94933	37,55326	81,0186	57,6943	80,84586	61,54192	70,31448	58,4016	69,97957	64,29398	62,82619	52,40237	73,76575	71,18175	56,46417	56,66732
15.11.2023 12:00:00	44	96,10038	89,82085	99,44146	94,6352	92,90195	85,38761	97,51943	90,90372	94,98655	92,10574	96,16349	88,91	99,16743	96,05704	92,6245	94,2617	71,03909	38,96017	82,61984	60,36538	84,11359	63,78942	74,73811	62,15826	72,93564	66,59911	67,26784	54,75949	77,78889	74,30961	60,47668	59,87694
15.11.2023 14:00:00	46	97,27191	91,48392	99,82655	96,76632	94,53693	87,50413	98,08433	92,61736	96,06863	93,16971	97,32129	90,08488	99,82027	96,96487	94,05801	96,1973	73,69716	41,69072	85,32538	63,17221	85,39341	65,7709	77,67783	64,14498	72,49291	70,72307	69,85724	57,4798	81,85895	76,88908	63,36178	64,00932
15.11.2023 16:00:00	48	98,03416	93,88035	99,95285	97,53793	94,91217	89,41821	98,64389	94,311	97,2689	94,32521	98,20983	91,63673	99,92213	97,96636	95,32234	97,26358	77,40213	43,03198	87,4072	65,57864	87,41356	69,1335	80,11212	66,2838	77,76595	74,22538	74,16894	59,49868	85,89701	81,99096	65,67232	67,99625
15.11.2023 18:00:00	50	98,6616	95,5766	99,93069	98,30795	96,01377	91,03517	99,00493	95,07848	97,82863	95,15945	98,48394	92,89941	99,92554	98,43003	95,97868	98,64754	79,62463	46,06529	90,48203	68,53439	88,65908	71,72488	83,08407	68,16542	79,49658	77,04658	76,95854	62,0453	89,29565	84,57862	68,2791	70,26431
15.11.2023 20:00:00	52	99,18497	97,2146	99,92625	99,01882	96,65106	92,76279	99,43622	96,5315	98,2931	96,10792	99,21029	94,14239	99,89244	99,10495	97,11314	99,12218	81,33652	48,10869	91,10725	70,88469	89,28755	73,05932	85,60504	71,52039	83,0466	79,62296	78,68307	66,88664	91,96038	85,775	70,17818	71,16047
15.11.2023 22:00:00	54	99,74026	97,99931	100	99,67159	97,49641	93,74587	99,7243	97,60866	98,62937	96,81038	99,55743	95,23573	100	99,45209	97,19539	99,60467	84,20956	50,74509	93,64568	73,11449	91,91347	76,19567	86,79539	73,28342	85,97894	80,96787	81,7975	68,88589	94,167	88,02306	72,12061	73,77591
16.11.2023 00:00:00	56	100	98,47337	100	99,90331	97,98414	95,16191	100	98,20364	98,80123	97,34289	99,88568	95,87072	100	99,78503	98,08511	99,83044	86,44118	53,97051	95,09134	74,86037	94,70497	78,57209	88,94096	74,59451	87,8261	84,28474	85,94917	72,13959	95,82476	88,85999	76,59425	74,29832
16.11.2023 02:00:00	58	100	99,08932	100	100	98,5268	96,56786	100	98,69598	99,36977	97,96787	100	97,02233	100	99,93037	98,79226	100	88,33416	55,03417	96,36623	78,28734	95,4765	80,57882	92,66578	76,85908	89,69137	86,27559	88,18031	75,5899	97,26446	91,22292	77,50288	76,56892
16.11.2023 04:00:00	60	100	99,54585	100	100	98,75193	97,96787	100	98,97611	99,60522	98,21745	100	98,02828	100	100	99,18887	100	90,49068	56,80973	97,71201	81,39511	95,94661	81,73543	93,76135	78,53414	91,29388	88,26263	88,53912	78,04125	98,66438	93,33688	80,26859	80,82347
16.11.2023 06:00:00	62	100	99,60666	100	100	99,08233	98,7282	100	99,12416	99,59952	98,69335	100	98,35406	100	100	99,56348	100	92,20432	58,74097	98,64738	81,77551	97,08735	84,42509	96,20778	80,49705	93,34118	89,30208	90,23206	80,51586	99,13782	94,48033	83,70516	82,94451
16.11.2023 08:00:00	64	100	99,92403	100	100	99,44019	99,36454	100	99,3847	99,82432	99,26221	100	99,26904	100	100	99,75034	100	93,03571	59,73484	99,39391	83,96633	97,52086	86,11865	96,92191	83,17766	94,5532	89,18935	93,0238	81,76615	99,3304	95,60876	85,78802	82,8325
16.11.2023 10:00:00	66	100	100	100	100	99,66691	99,70144	100	99,64285	99,92887	99,75899	100	99,74407	100	100	99,86266	100	94,37807	61,22717	99,34413	85,32648	97,9839	87,78665	97,87189	85,99196	93,28013	93,84486	93,45763	82,54776	99,742	96,75148	89,51363	84,65268
16.11.2023 12:00:00	68	100	100	100	100	99,85505	99,82917	100	99,75963	100	100	100	99,92117	100	100	99,96515	100	96,27097	63,78672	99,48424	86,74768	98,55014	89,70145	98,15799	88,61414	96,35457	95,35982	94,72729	85,71665	99,90276	97,6574	90,63635	88,46197
16.11.2023 14:00:00	70	100	100	100	100	100	99,91832	100	99,83829	100	100	100	99,92919	100	100	100	100	96,03401	64,96072	99,81075	87,72219	98,98723	92,27332	98,36947	87,24915	97,24619	96,40942	96,14801	87,51437	100	98,41479	92,76588	89,19943
16.11.2023 16:00:00	72	100	100	100	100	100	100	100	99,94935	100	100	100	100	100	100	100	100	97,7444	67,82614	99,85767	88,74671	98,9342	94,85326	98,58563	93,24116	97,53126	97,73504	96,82499	88,75536	99,65746	99,0917	94,64655	90,74177
16.11.2023 18:00:00	74	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98,04653	69,14922	100	90,1876	99,5603	96,88826	98,73463	93,41349	98,02169	98,65707	98,67724	91,46194	99,67699	99,11868	95,18144	92,32388
16.11.2023 20:00:00	76	100	100	100	100	100	99,97126	100	100	100	100	100	100	99,95967	100	100	100	98,57142	70,55025	100	91,14155	99,83369	97,37726	98,96389	94,1543	98,25587	98,99866	98,96349	92,56338	99,80416	99,75328	97,40512	93,37952
16.11.2023 22:00:00	78	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99,04922	74,27435	100	91,59356	100	98,04027	99,37684	95,95829	98,49442	99,8556	99,37764	94,33228	100	99,88617	98,63349	94,68561
17.11.2023 00:00:00	80	100	100	99,97666	100	100	100	100	100	100	100	100	100	100	100	100	100	99,62238	74,82067	100	93,28474	100	98,51156	99,7609	95,91526	98,66581	99,77114	99,07844	95,42403	99,24277	100	99,32031	94,58011
17.11.2023 02:00:00	82	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99,79281	76,49566	100	93,03056	99,76193	99,2234	99,75526	96,87318	99,02104	98,92174	99,31977	96,041	99,49313	100	99,70802	96,66718
17.11.2023 04:00:00	84	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99,95404	78,18438	100	93,59846	99,95023	99,53497	99,89117	97,75409	99,25228	99,23459	99,19958	96,34106	99,86004	100	99,97134	97,38249
17.11.2023 06:00:00	86	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	79,27415	100	94,07555	100	99,76709	100	98,44489	99,27269	100	99,14488	97,65549	100	100	100	97,41139
17.11.2023 08:00:00	88	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	81,13331	100	94,80683	100	99,84663	100	97,75027	99,75193	99,4005	98,95127	98,04082	100	100	100	97,79298
17.11.2023 10:00:00	90	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	81,95183	100	95,53978	100	100	100	99,19537	99,88807	99,96039	99,02406	98,14378	100	100	100	98,48021
17.11.2023 12:00:00	92	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99,96825	83,4586	100	96,32027	100	99,89165	100	99,34755	100	100	99,5965	98,79853	100	100	100	98,93174
